VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
KHESARHIYA,2673,1370,1303,1129,714,415,162,91,71,1379,565,814,3,0,3,42.23718668163113,52.11678832116788,31.849577897160398
LAXMINIYA DO.,10231,5212,5019,5544,3346,2198,382,183,199,4232,1659,2573,73,24,49,54.18825139282573,64.19800460475825,43.793584379358435
LAXMIPUR (DO.),5937,3022,2915,2408,1581,827,182,92,90,3336,1347,1989,11,2,9,40.559204985683,52.31634679020516,28.3704974271012
LAXMIPUR BELBICHAWA,3084,1664,1420,1521,1009,512,41,23,18,1521,632,889,1,0,1,49.31906614785993,60.637019230769226,36.056338028169016
LOKAHA,4236,2170,2066,1569,1008,561,158,67,91,2506,1094,1412,3,1,2,37.039660056657226,46.45161290322581,27.153920619554693
MADHOPUR,6682,3458,3224,2501,1710,791,313,126,187,3863,1619,2244,5,3,2,37.42891349895241,49.45054945054945,24.534739454094293
MAHAMADPUR,7405,3903,3502,3388,2234,1154,313,167,146,3704,1502,2202,0,0,0,45.75286968264686,57.23802203433257,32.952598515134206
MALAHI,2422,1246,1176,848,570,278,145,67,78,1427,608,819,2,1,1,35.01238645747316,45.74638844301766,23.639455782312925
MARYADPUR,4683,2467,2216,1455,984,471,509,247,262,2718,1236,1482,1,0,1,31.069827033952595,39.886501824077826,21.25451263537906
MASEDAWA,5891,3029,2862,2616,1652,964,251,129,122,3021,1247,1774,3,1,2,44.406722118485824,54.539451964344664,33.6827393431167
MATHIYA,5234,2693,2541,2186,1323,863,337,160,177,2634,1177,1457,77,33,44,41.76538020634314,49.127367248421834,33.96300669027942
MATSARI,3896,2042,1854,2425,1448,977,70,33,37,1401,561,840,0,0,0,62.243326488706366,70.91087169441724,52.69687162891047
MITHUAWA,3456,1779,1677,1490,948,542,192,81,111,1771,749,1022,3,1,2,43.113425925925924,53.288364249578414,32.319618366129994
MUDWALAWA,3805,2018,1787,1906,1215,691,163,83,80,1734,719,1015,2,1,1,50.09198423127464,60.20812685827552,38.668158925573586
NARKATIYA GUTHI,6756,3466,3290,2387,1542,845,276,150,126,4093,1774,2319,0,0,0,35.331557134399056,44.48932487016734,25.6838905775076
