VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
PREMPUR GUNAHI,7159,3629,3530,35,27,8,20,13,7,8,5,3,2,1,1,16,14,2,9,6,3,4,2,2,11,5,6
RAGHUNATHPUR,5866,2952,2914,28,19,9,16,10,6,3,1,2,3,2,1,8,3,5,2,2,0,2,1,1,0,0,0
RAJDEVI,4381,2289,2092,17,10,7,7,3,4,6,1,5,0,0,0,6,5,1,3,2,1,1,0,1,0,0,0
RAJPUR FARHADAWA,17578,8640,8938,83,54,29,102,57,45,40,18,22,8,3,5,19,10,9,16,10,6,17,14,3,26,14,12
RAJPUR TULSI,5787,2891,2896,4,1,3,6,4,2,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,2,2,0
RAMOLI BAIRIYA,6216,3240,2976,29,22,7,81,42,39,14,10,4,1,0,1,17,9,8,9,4,5,2,1,1,8,1,7
RAMPUR KHAP,5099,2616,2483,42,27,15,61,21,40,14,12,2,2,0,2,12,7,5,2,2,0,1,1,0,0,0,0
RANGAPUR,10848,5470,5378,78,42,36,41,19,22,6,4,2,1,1,0,31,16,15,16,11,5,9,5,4,14,8,6
SAKHUAWA,4714,2472,2242,37,22,15,19,9,10,9,5,4,0,0,0,10,6,4,5,3,2,1,1,0,9,3,6
SAKHUWA DHAMAURA,12252,6153,6099,66,34,32,57,33,24,23,16,7,5,3,2,22,15,7,24,11,13,4,2,2,17,6,11
SAMANPUR,7814,3985,3829,39,22,17,12,4,8,13,8,5,1,1,0,24,11,13,7,3,4,6,6,0,10,9,1
SANGRAMPUR,6120,3111,3009,14,9,5,6,4,2,12,7,5,0,0,0,10,7,3,11,9,2,1,1,0,1,0,1
SANTAPUR(DOSTIYA),7286,3691,3595,28,17,11,55,28,27,10,7,3,0,0,0,12,8,4,6,3,3,5,4,1,7,2,5
SANTPUR(MATIAUN),14903,7558,7345,65,47,18,12,5,7,9,3,6,5,1,4,16,10,6,13,11,2,4,3,1,21,12,9
SARMUJAWA,10065,5266,4799,34,22,12,34,19,15,13,9,4,2,2,0,15,8,7,4,2,2,8,6,2,15,8,7
SARUATHA,7369,3827,3542,35,22,13,16,9,7,5,3,2,6,4,2,10,6,4,2,1,1,1,1,0,6,5,1
SAUNARANIYA,5964,3094,2870,12,9,3,5,3,2,4,3,1,0,0,0,3,2,1,4,2,2,0,0,0,1,0,1
SHITALPUR BAIRGANIA,7287,3752,3535,43,29,14,29,16,13,14,9,5,1,1,0,11,9,2,3,2,1,4,3,1,9,4,5
SIMARA BHAWANIPUR,9370,4615,4755,31,21,10,17,10,7,12,6,6,1,0,1,15,5,10,3,3,0,1,1,0,1,0,1
TEJAPAKAR,5515,2833,2682,26,18,8,7,5,2,6,4,2,3,2,1,8,5,3,7,4,3,1,1,0,13,6,7
TENGRAHA,5867,2992,2875,26,15,11,13,4,9,11,5,6,5,1,4,14,7,7,2,2,0,3,1,2,6,5,1
INSTITUTIONAL,655,626,29,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,0
