VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
KARKACH KARMAIYA,1121,7563,3941,3622,6.746654772524532,108.80728879072336
KARUNIYA,1070,7547,3792,3755,7.053271028037384,100.98535286284954
KATAHARIYA,1564,9960,5149,4811,6.368286445012788,107.02556641030971
KHESARHIYA,534,3046,1571,1475,5.704119850187266,106.5084745762712
LAXMINIYA DO.,1893,11346,5751,5595,5.993660855784469,102.7882037533512
LAXMIPUR (DO.),986,6922,3507,3415,7.020283975659229,102.69399707174232
LAXMIPUR BELBICHAWA,634,3560,1896,1664,5.615141955835962,113.9423076923077
LOKAHA,630,4837,2487,2350,7.677777777777778,105.82978723404256
MADHOPUR,1135,7609,3932,3677,6.703964757709251,106.93500135980418
MAHAMADPUR,1277,8347,4376,3971,6.536413469068129,110.19894233190632
MALAHI,408,2870,1469,1401,7.034313725490196,104.85367594575304
MARYADPUR,812,5407,2811,2596,6.6588669950738915,108.28197226502311
MASEDAWA,1021,6750,3480,3270,6.611165523996083,106.42201834862387
MATHIYA,797,6013,3088,2925,7.544542032622334,105.57264957264958
MATSARI,698,4323,2241,2082,6.193409742120344,107.63688760806916
MITHUAWA,646,3898,1999,1899,6.03405572755418,105.26592943654556
MUDWALAWA,1009,4314,2267,2047,4.275520317145689,110.7474352711285
NARKATIYA GUTHI,1089,7891,4042,3849,7.246097337006428,105.0142894258249
PACHARUKHI,943,5204,2718,2486,5.518557794273595,109.33226065969428
PATAURA,1173,8052,4132,3920,6.864450127877238,105.40816326530613
PATHARA BUDHARAM,1007,6972,3595,3377,6.923535253227408,106.45543381699734
PAURAI,1821,9613,4745,4868,5.2789676002196595,97.4732949876746
PIPARA POKHARIYA,957,6396,3335,3061,6.683385579937304,108.95132309702711
PIPARIYA(DOSTIYA),731,4916,2514,2402,6.7250341997264025,104.66278101582014
PIPARIYA(PAROHA),1177,8197,4242,3955,6.964316057774002,107.2566371681416
PIPRA BHAGWANPUR,880,6300,3291,3009,7.159090909090909,109.37188434695912
PIPRA RAJBARA,1055,7008,3656,3352,6.642654028436019,109.06921241050121
POTHIYAHI,989,6913,3541,3372,6.989888776541962,105.01186239620404
PRATAPPUR PALTUWA,1350,9152,4628,4524,6.779259259259259,102.29885057471265
PREMPUR GUNAHI,1062,7264,3702,3562,6.839924670433145,103.93037619314991
RAGHUNATHPUR,915,5928,2990,2938,6.478688524590164,101.76991150442478
RAJDEVI,754,4421,2310,2111,5.863395225464191,109.42681193747039
RAJPUR FARHADAWA,2589,17889,8820,9069,6.909617612977984,97.25438306318227
RAJPUR TULSI,877,5803,2901,2902,6.6168757126567845,99.96554100620261
RAMOLI BAIRIYA,918,6377,3329,3048,6.946623093681917,109.21916010498687
RAMPUR KHAP,776,5233,2686,2547,6.743556701030927,105.4574008637613
RANGAPUR,1945,11044,5576,5468,5.67814910025707,101.9751280175567
SAKHUAWA,759,4804,2521,2283,6.329380764163373,110.42487954445906
SAKHUWA DHAMAURA,1857,12470,6273,6197,6.715131933225633,101.22639987090527
SAMANPUR,1290,7926,4049,3877,6.144186046511628,104.43641991230332
SANGRAMPUR,915,6175,3148,3027,6.748633879781421,103.99735711925999
SANTAPUR(DOSTIYA),1089,7409,3760,3649,6.8034894398530765,103.04192929569744
SANTPUR(MATIAUN),2686,15048,7650,7398,5.602382725241996,103.40632603406326
SARMUJAWA,1439,10190,5342,4848,7.081306462821404,110.1897689768977
SARUATHA,1287,7450,3878,3572,5.788655788655789,108.56662933930572
SAUNARANIYA,838,5993,3113,2880,7.151551312649165,108.09027777777777
SHITALPUR BAIRGANIA,1066,7401,3825,3576,6.942776735459662,106.96308724832215
SIMARA BHAWANIPUR,1491,9451,4661,4790,6.33869885982562,97.30688935281837
TEJAPAKAR,870,5586,2878,2708,6.4206896551724135,106.27769571639587
TENGRAHA,877,5947,3032,2915,6.781071835803877,104.01372212692968
