VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
PATAURA,1827,1858,723,467,817,1020,287,371
PATHARA BUDHARAM,1608,1482,806,528,699,819,103,135
PAURAI,2102,2236,1346,1401,563,578,193,257
PIPARA POKHARIYA,1532,1356,680,459,786,843,66,54
PIPARIYA(DOSTIYA),997,1105,584,500,328,520,85,85
PIPARIYA(PAROHA),1956,1827,894,633,1004,1117,58,77
PIPRA BHAGWANPUR,1577,1446,532,416,1027,1018,18,12
PIPRA RAJBARA,1728,1560,659,384,749,873,320,303
POTHIYAHI,1552,1575,835,710,704,848,13,17
PRATAPPUR PALTUWA,2126,2154,997,884,1075,1244,54,26
PREMPUR GUNAHI,1659,1653,777,604,810,932,72,117
RAGHUNATHPUR,1406,1354,555,384,843,969,8,1
RAJDEVI,1089,950,486,413,545,470,58,67
RAJPUR FARHADAWA,4190,4405,1300,1158,2701,3089,189,158
RAJPUR TULSI,1392,1393,378,250,976,1092,38,51
RAMOLI BAIRIYA,1521,1455,531,312,751,854,239,289
RAMPUR KHAP,1221,1148,656,563,501,516,64,69
RANGAPUR,2326,2383,1575,1432,657,795,94,156
SAKHUAWA,1081,1048,703,569,340,432,38,47
SAKHUWA DHAMAURA,2840,2848,1079,780,1708,2015,53,53
SAMANPUR,1781,1764,914,716,830,992,37,56
SANGRAMPUR,1344,1382,742,639,554,714,48,29
SANTAPUR(DOSTIYA),1804,1731,600,283,916,1123,288,325
SANTPUR(MATIAUN),2976,2993,1648,1427,934,1177,394,389
SARMUJAWA,2454,2238,1187,921,954,951,313,366
SARUATHA,1781,1685,934,712,807,940,40,33
SAUNARANIYA,1423,1327,675,401,603,771,145,155
SHITALPUR BAIRGANIA,1798,1716,976,553,754,1078,68,85
SIMARA BHAWANIPUR,2106,2274,960,870,1124,1377,22,27
TEJAPAKAR,1294,1173,641,473,540,537,113,163
TENGRAHA,1368,1358,603,415,708,867,57,76
INSTITUTIONAL,263,11,92,8,153,2,18,1
