VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
LIPANI BIRTA,6901,3672,3229,10,6,4,10,5,5,4,3,1,2,0,2,3,3,0,2,1,1,1,1,0,5,4,1
MADHUBAN MATHAUL,6652,3321,3331,41,26,15,23,16,7,35,14,21,1,0,1,15,7,8,5,3,2,0,0,0,11,7,4
MAHADEVPATTI,7081,3643,3438,35,25,10,18,9,9,13,4,9,1,0,1,12,9,3,8,5,3,2,2,0,4,3,1
MAHUWAN,4802,2460,2342,19,5,14,8,4,4,0,0,0,1,1,0,4,1,3,2,1,1,0,0,0,1,0,1
MAINPUR (PAKAHA),3179,1666,1513,13,6,7,27,14,13,3,2,1,1,0,1,4,4,0,2,2,0,1,0,1,2,1,1
MANIYARI,6572,3375,3197,14,7,7,10,6,4,14,6,8,2,1,1,6,3,3,2,2,0,0,0,0,7,5,2
MASIHANI,6044,3160,2884,13,8,5,16,7,9,3,0,3,0,0,0,3,1,2,1,0,1,0,0,0,1,1,0
BHIKHAMPUR,4636,2384,2252,19,13,6,6,1,5,3,1,2,0,0,0,3,3,0,3,1,2,2,0,2,2,1,1
MIRJAPUR,4187,2159,2028,9,7,2,11,6,5,4,4,0,1,0,1,9,7,2,1,1,0,7,5,2,0,0,0
MUDALI,5813,3037,2776,8,6,2,14,10,4,3,1,2,2,1,1,8,7,1,1,1,0,0,0,0,1,1,0
NAGARDAHA,3576,1847,1729,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0
NICHUTA,6534,3320,3214,47,21,26,13,6,7,8,5,3,0,0,0,6,3,3,4,3,1,6,3,3,2,2,0
NIRMAL BASTI,9667,4708,4959,47,32,15,14,9,5,10,5,5,1,0,1,14,5,9,7,4,3,6,6,0,6,4,2
PACHARUKHI,5542,2840,2702,19,14,5,7,3,4,2,1,1,1,1,0,3,2,1,4,3,1,3,1,2,7,4,3
PARSAUNI BIRTA,4968,2594,2374,15,12,3,5,4,1,2,2,0,0,0,0,4,4,0,6,4,2,1,0,1,0,0,0
PRASAUNI MATHA,6072,3090,2982,40,26,14,17,9,8,3,2,1,5,3,2,6,2,4,6,3,3,2,0,2,0,0,0
PIDARIGUTHI,5116,2593,2523,17,10,7,11,6,5,0,0,0,2,0,2,3,2,1,1,1,0,3,2,1,6,4,2
POKHARIYA,6876,3481,3395,39,25,14,30,19,11,12,7,5,3,2,1,14,11,3,13,8,5,1,1,0,7,4,3
PRASURAMPUR,2873,1493,1380,29,17,12,6,4,2,2,1,1,1,1,0,6,3,3,4,2,2,1,1,0,3,3,0
RAMGADHAWA,6632,3623,3009,14,7,7,6,5,1,2,0,2,2,0,2,8,6,2,3,1,2,0,0,0,1,0,1
RAMNAGARI,3056,1531,1525,58,30,28,184,110,74,9,5,4,0,0,0,6,3,3,8,7,1,3,3,0,9,3,6
SABAITHAWA,4419,2232,2187,32,20,12,11,7,4,4,1,3,1,0,1,9,3,6,4,3,1,2,2,0,5,5,0
SAKHUWA PRASAUNI,6685,3318,3367,12,10,2,6,3,3,0,0,0,1,0,1,8,7,1,3,2,1,2,1,1,1,1,0
SAMJHAUTA,6893,3564,3329,13,9,4,48,19,29,8,4,4,1,1,0,21,14,7,4,3,1,2,1,1,5,2,3
SHANKAR SARAIYA,4053,1999,2054,5,3,2,2,1,1,4,3,1,1,1,0,4,3,1,0,0,0,0,0,0,1,1,0
SEDHAWA,3245,1581,1664,10,3,7,2,0,2,3,1,2,0,0,0,4,3,1,1,1,0,0,0,0,1,1,0
SHIBARWA,6457,3361,3096,10,6,4,0,0,0,1,0,1,1,0,1,13,9,4,5,5,0,1,1,0,3,2,1
SIRSIYA KHALWATOLA,5911,3100,2811,4,3,1,8,5,3,1,1,0,0,0,0,5,3,2,2,2,0,0,0,0,1,0,1
SONBARSA,6877,3524,3353,111,61,50,69,32,37,28,9,19,3,1,2,25,8,17,34,24,10,9,5,4,2,0,2
SREESIYA (NAU.TA.JA.),3336,1710,1626,9,5,4,3,0,3,4,2,2,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0
SUBARNAPUR,3368,1536,1832,18,10,8,21,12,9,19,11,8,0,0,0,10,7,3,8,3,5,5,2,3,3,1,2
SUGAULI BIRTA,6138,3019,3119,16,8,8,8,2,6,2,2,0,0,0,0,6,2,4,1,0,1,1,1,0,4,2,2
SUGAULI PARTEWA,5738,2838,2900,8,4,4,5,1,4,6,4,2,0,0,0,4,2,2,2,2,0,1,0,1,1,1,0
SUPAULI,3051,1511,1540,5,2,3,9,6,3,10,5,5,3,3,0,10,4,6,1,1,0,1,1,0,5,4,1
SURJAHA,4101,2193,1908,20,14,6,15,9,6,6,4,2,2,1,1,5,4,1,5,4,1,0,0,0,2,2,0
THORI,6999,3374,3625,65,42,23,26,15,11,19,9,10,3,1,2,17,12,5,15,9,6,6,3,3,23,12,11
TULASI BARWA,4142,2096,2046,31,23,8,122,59,63,4,2,2,1,1,0,6,4,2,1,1,0,0,0,0,7,1,6
UDAYAPUR GHURMI,7127,3744,3383,15,9,6,6,5,1,7,4,3,1,1,0,5,5,0,2,2,0,0,0,0,0,0,0
VAURATAR,9192,4834,4358,23,15,8,4,3,1,0,0,0,1,1,0,7,5,2,4,4,0,0,0,0,2,1,1
INSTITUTIONAL,3198,2836,362,32,32,0,5,5,0,5,5,0,0,0,0,2,2,0,3,3,0,1,1,0,2,2,0
