VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
PAKADIYA CHIKANI,112,61,51,1205,776,429,381,283,98,110,93,17,104,79,25,34,26,8,14,12,2,8,4,4,29,4,25,3,1,2,18,11,7
PAPARPATI JABDI,105,54,51,551,328,223,201,134,67,61,50,11,63,52,11,36,26,10,20,15,5,0,0,0,0,0,0,0,0,0,5,2,3
PATERWA,8,5,3,822,461,361,344,209,135,133,98,35,171,124,47,86,59,27,38,30,8,9,7,2,1,0,1,2,1,1,0,0,0
PATHARHATI,1,0,1,994,593,401,411,285,126,168,132,36,114,87,27,90,73,17,24,20,4,6,5,1,1,1,0,0,0,0,62,44,18
PATHERA,64,33,31,922,536,386,453,300,153,196,135,61,200,150,50,79,56,23,16,15,1,3,3,0,3,1,2,8,5,3,5,3,2
PHETA,28,15,13,1559,883,676,964,613,351,290,217,73,264,194,70,114,93,21,30,27,3,4,4,0,9,2,7,1,1,0,18,8,10
PIPARA SIMARA,485,254,231,5601,2948,2653,3495,1919,1576,2257,1226,1031,2570,1441,1129,1311,752,559,546,346,200,130,111,19,16,9,7,381,217,164,161,80,81
PIPARABIRTA,15,7,8,657,409,248,231,177,54,88,70,18,44,32,12,40,34,6,12,10,2,6,4,2,0,0,0,20,17,3,3,3,0
PIPARPATI PARCHROUWA,71,28,43,961,553,408,357,237,120,138,108,30,117,76,41,119,89,30,22,18,4,5,5,0,0,0,0,0,0,0,24,15,9
PIPRA BASANTAPUR,31,20,11,934,567,367,485,309,176,229,150,79,128,93,35,54,43,11,13,11,2,4,4,0,2,0,2,1,0,1,8,4,4
