VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
LAXMIPUR SU.,1317,1241,521,368,626,707,170,166
MADHUBANGOTH,1397,1340,691,511,677,798,29,31
MADHUBANI,989,884,502,364,473,510,14,10
MAHINATHPUR,791,755,322,253,416,431,53,71
BHELHI,1113,961,588,435,384,352,141,174
MALANGAWA MUNICIPALITY,5367,5088,3724,3043,1417,1746,226,299
MANPUR,2015,1949,854,555,1044,1239,117,155
MIRJAPUR,1056,986,439,326,616,658,1,2
MOHANPUR,1667,1599,832,545,829,1048,6,6
MOTIPUR,1034,963,392,301,630,646,12,16
MURTIYA,1911,2045,1347,1254,532,744,32,47
MUSAULI,1202,1199,742,542,460,655,0,2
NARAYAN KHOLA,1147,1110,607,516,514,564,26,30
NARAYANPUR,814,764,386,314,426,449,2,1
NETRAGANJ,2120,2237,1387,1183,446,694,287,360
NOUKAILAWA,3066,2815,1402,984,1492,1579,172,252
PARSA,1553,1415,701,534,836,871,16,10
PARWANIPUR,1800,1983,1235,1278,435,570,130,135
PATTHARKOT,1658,1810,1222,1183,428,622,8,5
PIDARI,1179,1225,669,575,491,630,19,20
PIDARIYA,1044,1023,606,404,386,566,52,53
PIPARIYA,1543,1435,702,528,812,880,29,27
RAJGHAT,2009,2244,1442,1432,539,735,28,77
RAMBAN,1127,1064,533,367,426,508,168,189
RAMNAGAR BAHUARWA,1514,1387,771,495,718,842,25,50
RANIGANJ,1084,1144,780,724,287,404,17,16
ROHUWA,692,611,295,169,391,442,6,0
SAKRAUL,1226,1040,369,289,613,574,244,177
SALEMPUR,1878,1674,896,634,849,918,133,122
SANGRAMPUR,1875,1663,791,514,1025,1087,59,62
SANKARPUR,1895,1986,1205,1017,468,655,222,314
SASAPUR,1322,1563,926,922,336,531,60,110
SHREEPUR,1022,1056,641,402,376,645,5,9
SIKHAUNA,1081,1150,581,556,497,586,3,8
SIMARA,2047,1837,1074,715,917,1035,56,87
SISOTIYA,2055,2011,1126,975,634,763,295,273
SISOUT,1750,1673,778,575,792,959,180,139
SAHODAWA,931,846,448,303,441,512,42,31
SUDAMA,896,924,529,459,364,456,3,9
SUNDARPUR,1864,1697,553,480,1262,1170,49,47
SUNDARPUR CHOHARWA,2456,2473,1201,976,1235,1474,20,23
TRIBHUWAN NAGAR,859,886,481,379,374,498,4,9
INSTITUTIONAL,267,53,260,49,6,4,1,0
